Zeilenbeschriftungen,Summe von Filtered Verdunstung POONDI,Summe von Filtered Verdunstung CHOLAVARA,Summe von Filtered Verdunstung REDHILLS,Summe von Filtered Verdunstung CHEMBARAMBAKKAM
2004,195.8,250,504.8,240
2005,524.1,185,1435.4,599
2006,746,606,73,1575
2007,779,289,460,933
2008,866,542,230,1254
2009,429.6,467.67,446.51,573.07
2010,698.4,320,214.4,688
2011,475.6,479,286.6,359
2012,1086.8,632,512.9,386.5
2013,616.2,277,131,791
2014,421.2,267,515,1213
2015,514.8,285.5,678.4,1342
2016,804,773,413.2,286
2017,374.2,332,1176,1087.8
2018,407,423,1210,1138
2019,694,368,956,181
Gesamtergebnis,9632.7,6496.17,9243.21,12646.37
