Jahr,Summe von CHEMBARAMBAKKAM,Summe von REDHILLS,Summe von POONDI,Summe von CHOLAVARAM
2004,952,1158.4,1099,1230
2005,2428,2395.5,2031,2253
2006,1488,1328,1035,1330
2007,1353,1531.4,1703,1400
2008,1578,1755,1524,1685
2009,1542,1281,982.85,1089
2010,1449,1649.6,1120.5,1914
2011,2019,1515.4,1391.2,1141.2
2012,824.3,932.7,1100.6,909
2013,1262.55,1033.4,1119,950
2014,1233,1029.4,1118.6,937
2015,2463,2276.6,2039.1,2150
2016,1210,873.2,857.6,905
2017,1618.2,1621.4,1134.8,1440
2018,738,833,706,1090
2019,1260,1132,1256,1513
